0.792 -- i gotta lose weight .  -- blah -- http://mymyoulookawful.livejournal.com/35707.html
0.788 -- i m beginning to modify my style because i lost some weight and enjoy buying new things again .  -- amused -- http://nestfraese.livejournal.com/8083.html
0.787 -- i need to lose weight .  -- drained -- http://ammitch92.livejournal.com/41996.html
0.786 -- and perhaps to my demise , i lost weight .  -- devious -- http://neritheka.livejournal.com/62572.html
0.783 -- i lost weight !  -- ecstatic -- http://ametrine0012.livejournal.com/21506.html
0.779 -- my weight .  -- happy -- http://amethystwings.livejournal.com/102962.html
0.776 -- i can lose weight though .  -- pissed off -- http://myownelysium.livejournal.com/63998.html
0.776 -- i need to lose some weight !  -- stressed -- http://amesdapixie.livejournal.com/8559.html
0.768 -- walking and change my diet i won t lose the fat .  -- sore -- http://nerdyknight.livejournal.com/15865.html
0.768 -- i know why i have found my motivation to lose weight .  -- happy -- http://markisgod1.livejournal.com/6913.html
0.767 -- i wanted to lose weight but damn !  -- restless -- http://americanromeo.livejournal.com/7591.html
0.767 -- i need to get back to my normal weight .  -- shocked -- http://marley25.livejournal.com/33026.html
0.766 -- i need to lose weight again !  -- shocked -- http://marinalisa.livejournal.com/20233.html
0.764 -- i am never going to lose weight !  -- annoyed -- http://nessaleequick86.livejournal.com/634.html
0.764 -- i just need to lose a little weight .  -- accomplished -- http://americanpatriot.livejournal.com/58061.html
0.762 -- i am too fat , i need to lose weight .  -- sick -- http://netterz1226.livejournal.com/19234.html
0.761 -- i will have to monitor my body weight i guess .  -- calm -- http://nipper-dawg.livejournal.com/719868.html
0.759 -- or i could lose weight .  -- weird -- http://myownelysium.livejournal.com/26338.html
0.759 -- i wish i could lose weight .  -- contemplative -- http://amish092.livejournal.com/27659.html
0.758 -- i weight pounds , i need to weigh i will work my fat off this summer , lol .  -- weird -- http://ninjachicken.livejournal.com/13890.html
0.757 -- my heaviest weight ever was only a few weeks before i started this new lifestyle , and i was at my first goal was to lose of my weight , which i ve done .  -- jubilant -- http://ningal61.livejournal.com/2521.html
0.756 -- i m working my way slowly to lower my weight .  -- sick -- http://amguynes.livejournal.com/25254.html
0.755 -- i just need to lose this stress weight .  -- content -- http://marinka145.livejournal.com/16078.html
0.755 -- i started my diet as i want to fit back in my leathers .  -- blah -- http://nipper-dawg.livejournal.com/824996.html
0.755 -- not that i need to lose weight .  -- cold -- http://myntcarr.livejournal.com/14559.html
0.755 -- you lost weight ?  -- bored -- http://marish143.livejournal.com/29369.html
0.754 -- when i stress about my weight i just start eating more .  -- lazy -- http://ammepyre.livejournal.com/621327.html
0.753 -- i have been losing weight rapidly , maybe im getting taller or maybe its all the yoga im doing recomended by tammy my therapist for my anger but yoga is so relaxing it dosent seem like you would lose weight o .  -- bored -- http://amira-le-poo.livejournal.com/8267.html
0.753 -- i ve lost more weight .  -- good -- http://markpayne.livejournal.com/23024.html
0.752 -- and if i stick to this , i should lose of my body weight in twelve weeks .  -- worried -- http://marlborobell.livejournal.com/26085.html
0.752 -- i feel bad cuz i cheated on my new diet .  -- drunk -- http://myownfinder.livejournal.com/175944.html
0.750 -- rahhhhh i need to lose weight so bad .  -- full -- http://nirvanagoddess.livejournal.com/11764.html
0.748 -- i ve lost some weight .  -- sad -- http://nessie213.livejournal.com/194788.html
0.748 -- i have lost weight , i did weigh around now i weigh like , i m losing weight just slowly .  -- happy -- http://ninjachicken.livejournal.com/542.html
0.748 -- it s only until i lose some weight .  -- bitchy -- http://amkidd01.livejournal.com/8330.html
0.747 -- : my weight and least ?  -- good -- http://amisphon.livejournal.com/35797.html
0.746 -- i am not conciously trying to lose weight .  -- happy -- http://nin-wife.livejournal.com/26126.html
0.746 -- i need to lose weight so bad ... i have been dieting and it isnt getting me anywhere .  -- blah -- http://amkidd01.livejournal.com/5744.html
0.746 -- oh and my face was way slimmer , so i m loosing that weight for sure .  -- ecstatic -- http://marley25.livejournal.com/42989.html
0.745 -- i am determined to lose this weight by my birthday .  -- awake -- http://nessa-bell.livejournal.com/70832.html
0.745 -- so that s what , of my weight ?  -- crappy -- http://aminrael.livejournal.com/11357.html
0.744 -- and i need to lose weight cause i m fat overweight , same thing .  -- exhausted -- http://amizener.livejournal.com/57644.html
0.743 -- i keep saying to myself that i need to lose more weight and it s all fuckin true !  -- depressed -- http://netster15.livejournal.com/109824.html
0.743 -- i cheated on my diet today .  -- okay -- http://mylittlesatire.livejournal.com/33924.html
0.742 -- i ll lose this weight in no time ...  -- optimistic -- http://myntcarr.livejournal.com/36998.html
0.742 -- health somehow i ve managed to lose a little weight .  -- contemplative -- http://ammepyre.livejournal.com/608417.html
0.741 -- ok so most of you know i struggle with my weight .  -- bouncy -- http://aminahfiddler.livejournal.com/1271.html
0.739 -- i hope my lifestyle soon pays off in terms of i m eating so much less and doing more , why have i not lost weight ?  -- contemplative -- http://myovercoat.livejournal.com/5251.html
0.739 -- my mom says she can tell i lost weight but i doubt i did .  -- cold -- http://ness-g06.livejournal.com/21926.html
0.738 -- i ve lost a lot of weight .  -- bouncy -- http://myownmartyr.livejournal.com/103313.html
0.738 -- but no my mom says i need to focus more and lose more weight .  -- frustrated -- http://marleygangamon.livejournal.com/8266.html
0.738 -- i can incorporate my favourite goodies into my lifestyle .  -- happy -- http://amethyststar.livejournal.com/37802.html
0.737 -- i ve lost pounds in one week on my diet now , i feel so much better for it .  -- complacent -- http://mark-metallican.livejournal.com/10461.html
0.737 -- i swear all we do in life i weight !  -- cheerful -- http://marish143.livejournal.com/10171.html
0.737 -- i am so afraid of gaining the weight that i have lost back .  -- determined -- http://americanmodel.livejournal.com/20056.html
0.737 -- but now i do understand i feel a huge weight listed from my life !  -- contemplative -- http://mynameisdumble.livejournal.com/1961.html
0.736 -- i cheated on my diet again .  -- mellow -- http://mylittlesatire.livejournal.com/33364.html
0.736 -- i cant gain more weight damn it !  -- anxious -- http://marish143.livejournal.com/9834.html
0.735 -- none of my clothes feel tighter so i have to be toning up if i m not losing weight .  -- bitchy -- http://mariposa-angel.livejournal.com/34544.html
0.734 -- so the weight you lose is mostly water weight ... so you eat nothing and you lose water weight .  -- annoyed -- http://neptun-rising.livejournal.com/7744.html
0.734 -- still feel fat and unable to lose much weight despite the fact that people keep telling me how i look thinner or that it looks like i ve lost weight .  -- bouncy -- http://amindlikedice.livejournal.com/5819.html
0.733 -- anyways i have been walking everyday cause i really need to lose weight and lower my blood sugar .  -- tired -- http://netterz1226.livejournal.com/6423.html
0.733 -- and i know i must ve gained weight cause my dress felt more snug than usual .  -- happy -- http://amethystgoddess.livejournal.com/74802.html
0.733 -- all right so like i said i wanna lose weight this summer .  -- melancholy -- http://nerdysensaytion.livejournal.com/48480.html
0.733 -- i feel like im losing some serious weight .  -- energetic -- http://mark1044.livejournal.com/16164.html
0.733 -- i can actually see that im losing weight .  -- calm -- http://ningrrl420.livejournal.com/150598.html
0.733 -- i also lost a lot of weight working .  -- anxious -- http://marissa2147483637.livejournal.com/693.html
0.732 -- my neighbor said it looks like i lost weight .  -- tired -- http://nipper-dawg.livejournal.com/315334.html
0.732 -- i don t wanna gain my weight back .  -- depressed -- http://netster15.livejournal.com/42868.html
0.732 -- i ve joined a lose weight a thon on craftster , which i hope will help me lose the or so pounds i ve put back on since i stopped dieting back when chaz died .  -- amused -- http://marimbachica.livejournal.com/8788.html
0.731 -- i hate this winter weight i always gain .  -- chipper -- http://marisbiss.livejournal.com/36659.html
0.731 -- as a part of my weight loss care plan which i need to edit , i am working on glamour magazine s body by glamour .  -- sore -- http://my-october.livejournal.com/338647.html
0.731 -- i guess i need to work more on my diet and get in shape plan ... i am doing good , but need to become more tight , and toned ... i need to lower my body fat and tone up .  -- crappy -- http://myluckyclover.livejournal.com/164605.html
0.730 -- i want to lose a lot of weight and i think he is just humoring me .  -- jealous -- http://ninney-doodle.livejournal.com/29509.html
0.730 -- i am deathly afraid of food , and getting fat or gaining weight , i strive for a very low weight , and according to my sources i am already .  -- infuriated -- http://americanmodel.livejournal.com/16258.html
0.730 -- i ve bobbled with my weight my whole life .  -- grateful -- http://markurock.livejournal.com/122480.html
